category,segment-number,filename_quic,filename_tcp,current-bitrate_quic,current-bitrate_tcp,last-bitrate_quic,last-bitrate_tcp,rebuffering_quic,rebuffering_tcp,throughput_quic,throughput_tcp,bitrate-variation_quic,bitrate-variation_tcp,buffer-length_quic,buffer-length_tcp,dropped-frames_quic,dropped-frames_tcp,cpu-pressure_quic,cpu-pressure_tcp,memory-pressure_quic,memory-pressure_tcp,latency_quic,latency_tcp,Best
midband-drive,3,mid-band-drive-quic-updated.csv,mid-band-drive-tcp-updated.csv,299800.408,399733.742,299800.408,299800.408,0.0,0.0,417398,450570,0.0,99933.334,2.022,1.773,3,3,12.44,3.97,0.0,0.02,0.017,0.0,0
midband-drive,3,mid-band-drive-quic-updated.csv,mid-band-drive-tcp-updated.csv,1998.928,99933.667,1998.928,399733.742,0.0,0.0,157949,444498,0.0,-299800.075,6.0,0.496,0,10,15.52,27.71,0.0,0.01,0.0,0.0,0
midband-drive,3,mid-band-drive-quic-updated.csv,mid-band-drive-tcp-updated.csv,199867.075,199867.075,99933.667,199867.075,0.0,0.0,230139,300221,99933.408,0.0,14.574,2.724,0,1,16.21,15.93,0.0,0.0,0.0,0.044,0
midband-drive,3,mid-band-drive-quic-updated.csv,mid-band-drive-tcp-updated.csv,299800.408,499667.075,299800.408,499.875,0.0,0.172,436479,611290,0.0,499167.2,2.404,1.712,4,7,13.77,15.23,0.0,0.0,0.031,0.0,1
midband-drive,3,mid-band-drive-quic-updated.csv,mid-band-drive-tcp-updated.csv,299800.408,399733.742,299800.408,499.875,0.0,0.116,387363,506685,0.0,399233.867,2.479,2.137,0,3,14.03,14.0,0.0,0.0,0.009,0.0,1
midband-drive,3,mid-band-drive-quic-updated.csv,mid-band-drive-tcp-updated.csv,199867.075,299800.408,199867.075,499.875,0.0,0.108,310749,352541,0.0,299300.533,3.099,2.024,0,2,14.15,19.09,0.11,0.0,0.01,0.0,1
midband-drive,3,mid-band-drive-quic-updated.csv,mid-band-drive-tcp-updated.csv,299800.408,499667.075,399733.742,499.875,0.0,0.233,424065,639507,-99933.334,499167.2,1.574,1.836,6,9,12.71,16.06,0.0,0.0,0.0,0.0,1
midband-drive,3,mid-band-drive-quic-updated.csv,mid-band-drive-tcp-updated.csv,299800.408,399733.742,299800.408,499.875,0.0,0.152,412575,478115,0.0,399233.867,1.956,1.846,7,8,12.98,13.51,0.0,0.0,0.036,0.0,1
midband-drive,3,mid-band-drive-quic-updated.csv,mid-band-drive-tcp-updated.csv,199867.075,199867.075,199867.075,299800.408,0.0,0.0,281436,313300,0.0,-99933.333,2.077,1.708,2,1,13.21,16.15,0.0,0.0,0.02,0.0,0
midband-drive,3,mid-band-drive-quic-updated.csv,mid-band-drive-tcp-updated.csv,399733.742,499667.075,499.875,499667.075,0.264,0.0,487337,598867,399233.867,0.0,1.818,1.626,6,6,12.91,15.96,0.0,0.0,0.0,0.078,0
midband-drive,3,mid-band-drive-quic-updated.csv,mid-band-drive-tcp-updated.csv,299800.408,399733.742,499.875,399733.742,0.085,0.0,408259,520626,299300.533,0.0,2.084,1.726,4,10,15.11,13.56,0.0,0.0,0.0,0.061,0
midband-drive,3,mid-band-drive-quic-updated.csv,mid-band-drive-tcp-updated.csv,199867.075,699533.742,199867.075,699533.742,0.0,0.0,272879,825836,0.0,0.0,3.107,1.274,0,5,12.9,23.78,0.0,0.0,0.008,0.02,0
midband-drive,3,mid-band-drive-quic-updated.csv,mid-band-drive-tcp-updated.csv,199867.075,599600.408,399733.742,699533.742,0.0,0.0,417869,803304,-199866.667,-99933.334,0.867,0.975,9,5,15.77,21.73,0.0,0.0,0.0,0.0,0
midband-drive,3,mid-band-drive-quic-updated.csv,mid-band-drive-tcp-updated.csv,299800.408,599600.408,299800.408,699533.742,0.0,0.0,434008,843719,0.0,-99933.334,2.129,1.069,1,7,14.23,22.74,0.0,0.0,0.029,0.0,0
midband-drive,3,mid-band-drive-quic-updated.csv,mid-band-drive-tcp-updated.csv,399733.742,699533.742,399733.742,699533.742,0.0,0.0,497269,853866,0.0,0.0,1.586,1.346,9,8,13.97,22.7,0.0,0.0,0.06,0.031,0
midband-drive,3,mid-band-drive-quic-updated.csv,mid-band-drive-tcp-updated.csv,399733.742,699533.742,399733.742,699533.742,0.0,0.0,508831,850781,0.0,0.0,1.636,1.219,8,7,15.17,22.15,0.0,0.0,0.032,0.047,0
midband-drive,4,mid-band-drive-quic-updated.csv,mid-band-drive-tcp-updated.csv,199867.075,499667.075,299800.408,499667.075,0.0,0.0,342573,621464,-99933.333,0.0,0.823,4.712,14,0,5.29,5.07,0.04,0.02,0.0,0.017,0
midband-drive,4,mid-band-drive-quic-updated.csv,mid-band-drive-tcp-updated.csv,299800.408,399733.742,399733.742,399733.742,0.0,0.0,438268,465179,-99933.334,0.0,1.031,1.306,21,16,12.32,26.68,0.0,0.0,0.0,0.032,0
midband-drive,4,mid-band-drive-quic-updated.csv,mid-band-drive-tcp-updated.csv,399733.742,499667.075,399733.742,399733.742,0.0,0.0,462561,604953,0.0,99933.333,1.884,1.323,3,20,12.61,27.11,0.0,0.0,0.015,0.0,0
midband-drive,4,mid-band-drive-quic-updated.csv,mid-band-drive-tcp-updated.csv,399733.742,399733.742,399733.742,399733.742,0.0,0.0,467510,565958,0.0,0.0,1.396,1.243,14,16,12.59,27.06,0.0,0.0,0.019,0.044,0
midband-drive,4,mid-band-drive-quic-updated.csv,mid-band-drive-tcp-updated.csv,299800.408,399733.742,399733.742,499667.075,0.0,0.0,427582,543354,-99933.334,-99933.333,1.086,1.275,17,24,11.73,26.96,0.01,0.0,0.0,0.0,0
midband-drive,4,mid-band-drive-quic-updated.csv,mid-band-drive-tcp-updated.csv,3997.567,599600.408,3997.567,599600.408,0.0,0.0,4788,689229,0.0,0.0,17.441,1.29,0,9,7.08,11.35,0.0,0.0,0.008,0.012,0
midband-drive,4,mid-band-drive-quic-updated.csv,mid-band-drive-tcp-updated.csv,299800.408,399733.742,299800.408,299800.408,0.0,0.0,363495,554693,0.0,99933.334,1.878,1.321,39,16,12.04,23.93,0.02,0.0,0.019,0.0,0
midband-drive,4,mid-band-drive-quic-updated.csv,mid-band-drive-tcp-updated.csv,999.647,299800.408,999.647,399733.742,0.0,0.0,3678,430816,0.0,-99933.334,8.0,1.243,0,12,9.93,22.38,0.0,0.0,0.0,0.0,0
midband-drive,4,mid-band-drive-quic-updated.csv,mid-band-drive-tcp-updated.csv,299800.408,299800.408,299800.408,299800.408,0.0,0.0,390748,432897,0.0,0.0,1.452,2.692,11,3,8.5,20.84,0.0,0.0,0.024,0.021,0
midband-drive,4,mid-band-drive-quic-updated.csv,mid-band-drive-tcp-updated.csv,299800.408,399733.742,399733.742,399733.742,0.0,0.0,440735,460090,-99933.334,0.0,1.136,1.308,21,10,11.73,23.5,0.0,0.0,0.0,0.035,1
midband-drive,4,mid-band-drive-quic-updated.csv,mid-band-drive-tcp-updated.csv,299800.408,399733.742,299800.408,399733.742,0.0,0.0,431626,468039,0.0,0.0,3.094,1.317,0,21,12.48,21.91,0.0,0.0,0.011,0.032,0
midband-drive,4,mid-band-drive-quic-updated.csv,mid-band-drive-tcp-updated.csv,299800.408,399733.742,299800.408,399733.742,0.0,0.0,419011,465188,0.0,0.0,2.284,1.753,4,4,12.85,4.79,0.0,0.02,0.022,0.035,0
midband-drive,4,mid-band-drive-quic-updated.csv,mid-band-drive-tcp-updated.csv,1998.928,299800.408,1998.928,99933.667,0.0,0.0,157949,416656,0.0,199866.741,8.0,1.547,0,14,15.58,27.3,0.0,0.01,0.0,0.0,0
midband-drive,4,mid-band-drive-quic-updated.csv,mid-band-drive-tcp-updated.csv,199867.075,199867.075,199867.075,199867.075,0.0,0.0,259569,313298,0.0,0.0,12.952,3.293,0,1,16.2,16.06,0.0,0.0,0.009,0.01,0
midband-drive,4,mid-band-drive-quic-updated.csv,mid-band-drive-tcp-updated.csv,299800.408,499667.075,299800.408,499667.075,0.0,0.0,412952,621326,0.0,0.0,2.531,1.581,4,14,14.0,15.46,0.0,0.0,0.016,0.076,0
midband-drive,4,mid-band-drive-quic-updated.csv,mid-band-drive-tcp-updated.csv,299800.408,399733.742,299800.408,399733.742,0.0,0.0,386878,509776,0.0,0.0,2.595,2.154,0,3,14.1,14.0,0.0,0.0,0.011,0.012,0
