timestamp,DL_bitrate
1207.0,3008
1207.0,2
1208.0,11681
1209.0,8571
1210.0,5709
1211.0,4805
1212.0,7699
1214.0,8359
1215.0,8435
1216.0,8015
1217.0,8159
1218.0,8498
1219.0,6222
1220.0,2
1221.0,2
1221.0,2368
1222.0,7982
1224.0,10214
1225.0,8999
1226.0,5387
1227.0,7379
1228.0,8768
1229.0,9684
1230.0,9684
1230.0,9717
1231.0,11091
1232.0,11522
1233.0,3509
1234.0,3509
1235.0,2
1236.0,9113
1237.0,8482
1238.0,8532
1239.0,19215
1240.0,14355
1241.0,22552
1242.0,15728
1243.0,12798
1245.0,24915
1246.0,6732
1247.0,13205
1248.0,0
1248.0,0
1249.0,2131
1250.0,7198
1251.0,7098
1252.0,6623
1253.0,8376
1255.0,8976
1256.0,8630
1257.0,7415
1258.0,12070
1259.0,19024
1261.0,5226
1262.0,5226
1263.0,2553
1264.0,23297
1265.0,23081
1266.0,22976
1267.0,22560
1268.0,22075
1269.0,45077
1270.0,106195
1272.0,158445
1273.0,159001
1275.0,74489
1276.0,2
1276.0,2
1277.0,2
1277.0,22122
1278.0,48713
1279.0,50846
1280.0,40939
1282.0,45054
1283.0,42130
1284.0,62447
1285.0,68022
1286.0,111472
1287.0,111472
1287.0,121175
1288.0,122704
1289.0,18730
1290.0,18730
1291.0,3939
1292.0,15941
1293.0,16395
1294.0,16301
1295.0,15522
1296.0,10384
1297.0,8431
1298.0,11923
1300.0,25655
1301.0,34203
1303.0,13091
1304.0,3
1304.0,3
1305.0,8723
1306.0,18961
1307.0,32977
1309.0,31806
1310.0,34207
1311.0,31762
1312.0,27615
1313.0,26907
1314.0,32070
1315.0,30658
1317.0,16603
1318.0,1
1318.0,1
1319.0,7511
1320.0,10100
1321.0,9666
1322.0,10342
1323.0,10706
1324.0,9707
1326.0,11094
1327.0,9615
1328.0,10221
1329.0,11138
1330.0,18552
1331.0,0
1332.0,0
1332.0,2811
1333.0,10007
1335.0,8641
1336.0,9238
1337.0,8697
1338.0,10457
1339.0,9154
1340.0,7871
1341.0,9123
1342.0,10824
1345.0,6772
1346.0,6772
1346.0,137
1347.0,12428
1348.0,11661
1349.0,9536
1350.0,11784
1351.0,9215
1353.0,11483
1354.0,7546
1355.0,12874
1356.0,19466
1357.0,14717
1358.0,13269
1359.0,2
1360.0,2
1360.0,5282
1362.0,8333
1363.0,17524
1364.0,17122
1365.0,10288
1366.0,8781
1367.0,12269
1368.0,11755
1369.0,8843
1371.0,13998
1372.0,11439
1373.0,0
1373.0,0
1374.0,2984
1375.0,12898
1376.0,11660
1377.0,13392
1379.0,11122
1380.0,7557
